,ordine_data,revenue,transazioni,google_spent,google_impressions,google_clicks,fb_spent,fb_impressions,fb_clicks,bing_spent,bing_impressions,bing_clicks,bing_organico,google_organico,referral,email_sessioni,cambio_eur_dollaro,day_week,month,year
46,2020-08-16,3771.68,334,65.75,702,76,0.0,0,0,0.0,0,0,26,2037,274,57,1.1852,6,8,2020
47,2020-08-17,8281.35,659,65.38,1006,90,0.0,0,0,0.0,0,0,50,4163,708,83,1.18747,0,8,2020
48,2020-08-18,7160.5,609,42.33,526,46,0.0,0,0,0.0,0,0,64,4214,673,101,1.19475,1,8,2020
49,2020-08-19,6525.85,544,73.84,1282,125,0.0,0,0,0.0,0,0,53,4204,742,96,1.1842,2,8,2020
50,2020-08-20,5625.64,464,60.18,754,88,0.0,0,0,0.0,0,0,37,4213,696,81,1.18698,3,8,2020
51,2020-08-21,4037.93,337,31.81,490,58,0.0,0,0,0.0,0,0,45,3737,633,83,1.17888,4,8,2020
52,2020-08-22,2315.76,208,28.71,506,40,0.0,0,0,0.0,0,0,32,2540,323,31,1.17888,5,8,2020
53,2020-08-23,4565.93,369,33.13,611,47,0.0,0,0,0.0,0,0,24,2507,266,60,1.17973,6,8,2020
54,2020-08-24,9179.96,768,63.44,1053,139,0.0,0,0,0.0,0,0,59,5013,821,86,1.1794,0,8,2020
55,2020-08-25,9094.92,721,53.02,897,123,0.0,0,0,0.0,0,0,78,5244,884,104,1.18343,1,8,2020
56,2020-08-26,7568.91,688,51.44,712,112,0.0,0,0,0.0,0,0,76,4932,868,97,1.1838600000000001,2,8,2020
57,2020-08-27,7940.92,625,40.46,682,87,0.0,0,0,0.0,0,0,58,4811,794,76,1.1818,3,8,2020
58,2020-08-28,4711.44,441,75.09,1141,137,0.0,0,0,0.0,0,0,62,4403,744,61,1.1892399999999999,4,8,2020
59,2020-08-29,3211.93,286,30.12,527,60,0.0,0,0,0.0,0,0,36,3074,353,43,1.1892399999999999,5,8,2020
60,2020-08-30,5192.5,475,49.15,739,91,0.0,0,0,0.0,0,0,33,3045,334,40,1.1918,6,8,2020
61,2020-01-09,10326.51,915,69.38,1210,159,0.0,0,0,0.0,0,0,75,5878,1005,98,1.1937,3,1,2020
62,2020-02-09,10065.28,850,76.24,1471,146,0.0,0,0,0.0,0,0,90,5531,1028,118,1.19225,6,2,2020
63,2020-03-09,11419.54,838,75.83,1159,157,0.0,0,0,0.0,0,0,88,5449,969,111,1.18461,0,3,2020
64,2020-04-09,6264.26,533,79.96,980,126,0.0,0,0,0.0,0,0,65,4763,810,79,1.18394,3,4,2020
65,2020-05-09,4118.59,318,105.4,1084,141,0.0,0,0,0.0,0,0,24,3109,389,43,1.18337,5,5,2020
66,2020-06-09,6022.66,509,87.0,1141,127,0.0,0,0,0.0,0,0,33,2960,356,33,1.18337,1,6,2020
67,2020-07-09,12442.85,1082,155.29,1328,174,0.0,0,0,0.0,0,0,112,5946,991,95,1.18335,3,7,2020
68,2020-08-09,10872.56,948,175.56,1502,176,0.0,0,0,0.0,0,0,93,5986,1059,102,1.18191,6,8,2020
69,2020-09-09,9547.32,894,153.67,1352,149,0.0,0,0,0.0,0,0,99,6066,1138,92,1.1767,2,9,2020
70,2020-10-09,8606.35,827,144.6,1445,169,0.0,0,0,0.0,0,0,88,5745,1050,114,1.1803700000000001,4,10,2020
71,2020-11-09,7079.17,553,84.41,857,85,0.0,0,0,0.0,0,0,73,5053,880,104,1.1823700000000001,0,11,2020
72,2020-12-09,3276.7,279,55.86,1428,81,0.0,0,0,0.0,0,0,35,3141,356,47,1.18369,2,12,2020
73,2020-09-13,6853.6,570,73.77,4860,122,0.0,0,0,0.0,0,0,48,3141,340,49,1.18369,6,9,2020
74,2020-09-14,11880.91,1065,119.45,3370,171,0.0,0,0,0.0,0,0,88,5942,1082,126,1.18395,0,9,2020
75,2020-09-15,12677.61,1043,115.32,2170,197,0.0,0,0,0.0,0,0,90,6116,1206,126,1.18677,1,9,2020
76,2020-09-16,11191.22,947,192.56,2822,333,0.0,0,0,0.0,0,0,91,5874,1043,88,1.1843700000000001,2,9,2020
77,2020-09-17,9132.14,786,178.1,12813,277,0.0,0,0,0.0,0,0,79,5740,999,102,1.18031,3,9,2020
78,2020-09-18,4771.97,480,164.35,16167,297,0.0,0,0,0.0,0,0,71,4862,854,78,1.1848,4,9,2020
79,2020-09-19,3926.7,333,94.79,5899,206,0.0,0,0,0.0,0,0,24,3100,483,36,1.18381,5,9,2020
80,2020-09-20,7111.82,586,159.65,8148,214,0.0,0,0,0.0,0,0,26,2973,350,46,1.18381,6,9,2020
81,2020-09-21,12735.91,1059,202.5,11833,321,0.0,0,0,0.0,0,0,91,6183,982,67,1.18448,0,9,2020
82,2020-09-22,11654.3,1022,149.99,14147,310,0.0,0,0,0.0,0,0,58,6082,1112,80,1.1764,1,9,2020
83,2020-09-23,10851.92,952,163.24,10773,328,0.0,0,0,0.0,0,0,96,6128,1049,100,1.17078,2,9,2020
84,2020-09-24,8993.2,785,143.64,19310,322,0.0,0,0,0.0,0,0,85,5806,999,98,1.16575,3,9,2020
85,2020-09-25,6215.4,498,128.96,11045,261,0.0,0,0,0.0,0,0,82,5056,913,79,1.1672799999999999,4,9,2020
86,2020-09-26,3957.07,289,119.81,9490,224,0.0,0,0,0.0,0,0,37,3117,402,32,1.16272,5,9,2020
87,2020-09-27,7067.48,517,173.26,12186,294,0.0,0,0,0.0,0,0,22,3299,417,41,1.16272,6,9,2020
88,2020-09-28,12271.88,964,231.14,19168,400,0.0,0,0,0.0,0,0,85,6307,1097,95,1.16345,0,9,2020
89,2020-09-29,11847.3,866,163.09,23176,372,0.0,0,0,0.0,0,0,102,5990,1088,75,1.16784,1,9,2020
90,2020-09-30,9672.76,769,79.95,21781,231,0.0,0,0,0.0,0,0,79,5704,1047,63,1.17405,2,9,2020
91,2020-01-10,8872.55,684,96.84,15734,242,0.0,0,0,0.0,0,0,80,5264,997,88,1.1723700000000001,4,1,2020
92,2020-02-10,7063.05,453,61.47,6440,147,0.0,0,0,0.0,0,0,84,4698,808,83,1.17442,0,2,2020
93,2020-03-10,3964.66,264,53.49,3507,126,0.0,0,0,0.0,0,0,37,2960,363,47,1.17154,1,3,2020
94,2020-04-10,7146.57,547,85.59,3052,173,0.0,0,0,0.0,0,0,46,3165,323,38,1.17154,4,4,2020
95,2020-05-10,11264.39,940,105.34,4876,240,0.0,0,0,0.0,0,0,76,5882,1045,107,1.1719600000000001,6,5,2020
96,2020-06-10,10184.43,869,78.71,5101,181,0.0,0,0,0.0,0,0,72,5883,1119,120,1.179,2,6,2020
97,2020-07-10,9735.78,810,70.63,6956,240,0.0,0,0,0.0,0,0,64,5816,1134,108,1.17367,4,7,2020
98,2020-08-10,9085.08,677,84.54,5800,234,0.0,0,0,0.0,0,0,97,5520,1052,85,1.1764,0,8,2020
99,2020-09-10,6377.34,487,76.76,9653,203,0.0,0,0,0.0,0,0,79,4784,808,61,1.1765,3,9,2020
100,2020-10-10,3837.35,298,64.55,4008,133,0.0,0,0,0.0,0,0,37,2983,364,26,1.18252,5,10,2020
101,2020-11-10,6681.52,501,84.24,6116,176,0.0,0,0,0.0,0,0,27,3442,353,32,1.18252,1,11,2020
102,2020-12-10,11990.92,967,98.24,17490,277,0.0,0,0,0.0,0,0,94,6193,1025,74,1.1814,3,12,2020
103,2020-10-13,11088.09,883,99.98,12804,274,0.0,0,0,0.0,0,0,80,6146,1131,99,1.1813200000000001,1,10,2020
104,2020-10-14,10212.05,829,89.93,9733,279,0.0,0,0,0.0,0,0,77,6013,1138,81,1.17419,2,10,2020
105,2020-10-15,10377.92,740,93.21,11885,266,0.0,0,0,0.0,0,0,96,5776,1052,76,1.17438,3,10,2020
106,2020-10-16,5581.22,440,48.78,8739,203,0.0,0,0,0.0,0,0,66,4953,962,76,1.17062,4,10,2020
107,2020-10-17,3897.77,260,44.8,4962,145,0.0,0,0,0.0,0,0,34,3286,418,25,1.17093,5,10,2020
108,2020-10-18,6834.29,480,48.03,4074,140,0.0,0,0,0.0,0,0,32,3308,349,35,1.17093,6,10,2020
109,2020-10-19,12824.65,996,121.66,25475,391,0.0,0,0,0.0,0,0,108,6501,1118,81,1.1714799999999999,0,10,2020
110,2020-10-20,11168.82,872,103.05,19878,343,0.0,0,0,0.0,0,0,85,6095,1162,93,1.17679,1,10,2020
111,2020-10-21,10434.2,818,108.15,7796,251,0.0,0,0,0.0,0,0,99,5991,1165,111,1.1829,2,10,2020
112,2020-10-22,9957.83,829,107.06,11421,300,0.0,0,0,0.0,0,0,97,5902,1184,74,1.18519,3,10,2020
113,2020-10-23,9749.85,567,49.32,3658,160,0.0,0,0,0.0,0,0,84,5363,1007,840,1.18145,4,10,2020
114,2020-10-24,4918.98,304,45.96,1716,121,0.0,0,0,0.0,0,0,43,3578,507,172,1.1854200000000001,5,10,2020
115,2020-10-25,7336.0,565,40.97,2755,144,0.0,0,0,0.0,0,0,44,3480,429,160,1.1854200000000001,6,10,2020
116,2020-10-26,14362.18,1054,92.72,6867,279,0.0,0,0,0.0,0,0,110,6751,1180,343,1.18479,0,10,2020
117,2020-10-27,11618.53,946,73.3,6699,269,0.0,0,0,0.0,0,0,95,6655,1293,332,1.1809,1,10,2020
118,2020-10-28,11434.27,893,86.02,4182,240,0.0,0,0,0.0,0,0,88,6582,1362,311,1.178,2,10,2020
119,2020-10-29,10223.31,827,84.4,6271,255,0.0,0,0,0.0,0,0,84,6306,1237,286,1.1748100000000001,3,10,2020
120,2020-10-30,7000.42,520,69.81,2797,203,0.0,0,0,0.0,0,0,72,5555,1088,232,1.1677799999999998,4,10,2020
121,2020-10-31,3675.85,294,39.48,1326,130,0.0,0,0,0.0,0,0,31,3507,512,101,1.1675,5,10,2020
122,2020-01-11,7901.92,591,61.84,4529,172,0.0,0,0,0.0,0,0,39,3676,507,100,1.16765,5,1,2020
123,2020-02-11,14870.65,1135,108.24,8929,277,0.0,0,0,0.0,0,0,96,7048,1295,238,1.16414,1,2,2020
124,2020-03-11,12300.85,1041,86.29,5521,283,0.0,0,0,0.0,0,0,98,7200,1336,268,1.1641,2,3,2020
125,2020-04-11,10180.9,852,110.83,3855,292,0.0,0,0,0.0,0,0,99,7141,1364,207,1.1761700000000002,5,4,2020
126,2020-05-11,12829.57,824,92.42,3546,247,0.0,0,0,0.0,0,0,90,6996,1359,572,1.1732,0,5,2020
127,2020-06-11,8460.75,544,76.36,2216,220,0.0,0,0,0.0,0,0,83,6217,1170,219,1.18169,3,6,2020
128,2020-07-11,4643.2,348,35.28,1652,136,0.0,0,0,0.0,0,0,46,4168,632,108,1.1872,5,7,2020
129,2020-08-11,9240.43,655,66.68,1603,191,0.0,0,0,0.0,0,0,47,4536,515,124,1.1872,1,8,2020
130,2020-09-11,11007.38,871,114.72,4340,341,66.05,26558,676,0.0,0,0,132,8008,1471,426,1.1892200000000002,4,9,2020
131,2020-10-11,12151.04,935,97.57,5350,349,106.68,60332,1473,0.0,0,0,127,7938,1576,273,1.18241,6,10,2020
132,2020-11-11,11062.4,935,228.52,7616,491,102.79,45829,1129,0.0,0,0,121,7943,1523,231,1.18183,2,11,2020
133,2020-12-11,11995.24,948,274.2,371280,1160,127.12,74618,1147,0.0,0,0,103,7610,1504,259,1.1779,4,12,2020
134,2020-11-13,8139.49,654,282.89,328764,1021,186.85,109634,824,0.0,0,0,104,7129,1337,174,1.1804,4,11,2020
135,2020-11-14,4754.07,382,238.76,293160,916,218.73,119343,880,0.0,0,0,66,4758,723,110,1.18275,5,11,2020
136,2020-11-15,9034.2,710,259.5,300691,1043,215.7,138247,1043,0.0,0,0,75,5112,673,110,1.18275,6,11,2020
137,2020-11-16,16381.56,1272,310.89,292076,1058,210.01,134478,914,0.0,0,0,135,8759,1696,258,1.18446,0,11,2020
138,2020-11-17,14396.96,1223,265.9,364659,1071,212.38,136716,939,0.0,0,0,152,8780,1666,284,1.1858899999999999,1,11,2020
139,2020-11-18,14348.52,1133,239.63,294574,1131,216.07,155634,895,0.0,0,0,124,8563,1804,1243,1.1862,2,11,2020
140,2020-11-19,12426.45,949,208.96,344374,1075,202.99,135823,806,0.0,0,0,146,8132,1642,389,1.18472,3,11,2020
141,2020-11-20,10914.51,690,269.17,338717,1057,224.85,135791,908,0.0,0,0,108,7461,1499,307,1.18662,4,11,2020
142,2020-11-21,6051.89,492,259.43,252315,948,223.28,121551,849,0.0,0,0,60,5227,775,145,1.18526,5,11,2020
143,2020-11-22,9146.3,800,410.3,312260,1327,216.13,137790,898,0.0,0,0,68,5078,722,119,1.1856200000000001,6,11,2020
144,2020-11-23,17098.56,1342,337.76,281476,1172,189.89,193404,599,0.0,0,0,165,9150,1743,859,1.18656,0,11,2020
145,2020-11-24,15286.43,1196,325.86,225671,1271,191.71,295808,528,0.0,0,0,159,9152,1962,381,1.1843,1,11,2020
146,2020-11-25,12281.33,1039,313.36,198357,1129,185.62,302188,491,0.0,0,0,148,8736,2121,356,1.18976,2,11,2020
147,2020-11-26,12458.98,923,243.83,167093,934,182.73,275081,452,0.0,0,0,139,8366,2050,322,1.1916200000000001,3,11,2020
148,2020-11-27,9748.81,669,307.48,134328,959,184.81,254258,382,0.0,0,0,144,7996,1787,276,1.1911200000000002,4,11,2020
149,2020-11-28,6997.51,495,343.56,146885,1006,188.06,257185,394,0.0,0,0,76,5614,995,146,1.1962,5,11,2020
150,2020-11-29,10876.78,785,321.36,179499,1042,189.03,261839,458,0.0,0,0,59,5579,880,138,1.1962,6,11,2020
151,2020-11-30,16580.34,1214,280.58,89024,935,187.15,285784,424,0.0,0,0,126,9978,2107,332,1.19706,0,11,2020
152,2020-01-12,15242.34,1172,374.67,148409,1104,189.11,320421,511,0.0,0,0,148,9890,2406,272,1.19373,6,1,2020
153,2020-02-12,13750.37,1100,367.46,213407,1181,188.58,330267,596,0.0,0,0,155,9969,2408,325,1.2071100000000001,2,2,2020
154,2020-03-12,12722.86,928,323.36,170444,1107,188.14,323818,526,0.0,0,0,147,9938,2419,251,1.21143,3,3,2020
155,2020-04-12,8428.44,657,275.04,177407,947,187.28,319686,545,0.0,0,0,133,8949,2349,267,1.21454,6,4,2020
156,2020-05-12,7030.41,454,202.27,171424,842,187.83,295111,572,0.0,0,0,76,6258,1286,135,1.212,1,5,2020
157,2020-06-12,11370.74,835,308.17,215410,1188,188.83,305997,656,0.0,0,0,81,6276,1003,119,1.212,4,6,2020
158,2020-07-12,13686.8,934,434.06,194201,1273,186.62,302154,541,0.0,0,0,164,9781,2269,258,1.2120600000000001,6,7,2020
159,2020-08-12,13336.71,958,364.34,202995,1219,188.56,325815,612,0.0,0,0,105,7737,1583,165,1.21126,2,8,2020
160,2020-09-12,20123.1,1402,370.56,205497,1342,188.32,337836,639,0.0,0,0,183,11475,2614,326,1.21084,5,9,2020
161,2020-10-12,15777.54,1089,353.19,162983,1401,54.11,21782,39,0.0,0,0,196,10864,2733,303,1.20774,0,10,2020
162,2020-11-12,11743.13,814,345.69,156501,1426,107.44,42540,560,0.0,0,0,165,9726,2664,248,1.2143,3,11,2020
163,2020-12-12,9880.15,599,208.86,175687,1228,125.2,41078,619,0.0,0,0,98,6953,1688,124,1.2113,5,12,2020
164,2020-12-13,15999.43,918,140.65,26849,706,114.56,39911,427,0.0,0,0,103,6214,1328,103,1.2113,6,12,2020
165,2020-12-14,16000.37,1027,424.28,194454,2241,88.76,32848,398,0.0,0,0,243,12589,3241,251,1.21327,0,12,2020
166,2020-12-15,13480.87,816,422.57,361923,2302,59.3,14666,127,0.0,0,0,229,12147,2923,258,1.2148,1,12,2020
167,2020-12-16,19722.02,1189,337.03,202171,1463,74.97,17551,79,0.0,0,0,231,12530,3515,276,1.21537,2,12,2020
168,2020-12-17,13585.78,751,336.82,224392,1367,85.4,25400,135,0.0,0,0,188,12367,3537,241,1.21961,3,12,2020
169,2020-12-18,9018.82,563,205.03,127419,930,87.74,20320,66,0.0,0,0,193,10388,3122,201,1.2261799999999998,4,12,2020
170,2020-12-19,7179.0,430,163.02,121381,782,93.24,22905,87,0.0,0,0,80,6813,1591,95,1.22547,5,12,2020
171,2020-12-20,10360.26,719,248.79,173736,1261,81.28,22003,73,0.0,0,0,78,6352,1388,90,1.22547,6,12,2020
172,2020-12-21,27815.43,1124,385.87,166417,1488,78.69,19591,63,0.0,0,0,177,10813,3580,1661,1.22155,0,12,2020
173,2020-12-22,13697.02,742,410.32,223612,1216,77.68,19150,57,0.0,0,0,145,9329,3150,659,1.22346,1,12,2020
174,2020-12-23,6539.35,389,318.64,196585,911,77.69,19787,53,0.0,0,0,89,7094,2606,437,1.2186,2,12,2020
175,2020-12-24,4027.13,153,293.3,169510,698,79.68,23611,54,0.0,0,0,46,4147,1538,302,1.21908,3,12,2020
176,2020-12-25,1345.77,95,229.85,261499,1119,83.23,31693,71,0.0,0,0,17,2393,490,98,1.2181,4,12,2020
177,2020-12-26,3244.46,192,450.41,313438,1363,87.98,30762,87,0.0,0,0,37,3416,644,133,1.2151,5,12,2020
178,2020-12-27,6479.29,491,487.81,384044,1753,82.59,31117,100,0.0,0,0,50,4443,910,189,1.2151,6,12,2020
179,2020-12-28,21459.86,1099,429.38,277318,1184,82.18,28698,82,0.0,0,0,104,7854,2443,1716,1.22042,0,12,2020
180,2020-12-29,14625.93,893,353.63,283752,1246,76.97,23316,56,0.0,0,0,92,7673,2285,860,1.222,1,12,2020
181,2020-12-30,11539.21,673,312.12,292827,1093,78.11,23767,71,0.0,0,0,89,6370,1992,648,1.2252399999999999,2,12,2020
182,2020-12-31,7579.93,284,191.97,232205,786,79.86,29583,88,0.0,0,0,38,3825,1099,386,1.22996,3,12,2020
183,2021-01-01,1570.62,135,207.14,345721,1036,87.74,47791,150,0.0,0,0,28,2772,577,145,1.1984,4,1,2021
184,2021-02-01,3999.7,331,348.15,570694,2105,94.77,40396,119,0.0,0,0,52,4715,1023,224,1.20108,0,2,2021
185,2021-03-01,6611.15,545,483.21,386756,1731,98.61,50165,220,0.0,0,0,59,4571,845,184,1.20108,0,3,2021
186,2021-04-01,10910.37,899,477.65,392321,1462,85.23,34760,122,0.0,0,0,126,7783,2152,507,1.22498,3,4,2021
187,2021-05-01,5884.69,547,426.48,365292,1275,79.42,28935,87,0.0,0,0,104,7373,1968,383,1.22506,5,5,2021
188,2021-06-01,5466.0,500,469.73,348162,1720,81.12,36027,111,0.0,0,0,47,5014,1051,190,1.22997,1,6,2021
189,2021-07-01,10801.13,873,464.38,327614,1299,83.8,27948,79,0.0,0,0,120,7418,2055,351,1.2338799999999999,3,7,2021
190,2021-08-01,6131.68,552,303.65,185489,769,79.3,23996,53,0.0,0,0,96,6970,1773,322,1.2269,6,8,2021
191,2021-09-01,5810.96,419,236.61,106915,780,87.4,31473,78,0.0,0,0,64,5041,1011,150,1.2217200000000001,2,9,2021
192,2021-10-01,8567.47,680,303.19,213461,828,82.21,30510,70,0.0,0,0,69,4833,743,144,1.2221,4,10,2021
193,2021-11-01,12182.16,1036,434.09,277640,1220,81.35,24908,58,0.0,0,0,104,8342,2041,353,1.21852,0,11,2021
194,2021-12-01,10807.23,931,331.35,151626,1141,80.94,24968,57,0.0,0,0,103,8097,2024,335,1.21604,2,12,2021
195,2021-01-13,9715.2,767,413.3,227131,1020,32.13,9738,26,0.0,0,0,122,7651,1963,305,1.2208299999999999,2,1,2021
196,2021-01-14,8394.47,699,361.67,290194,1120,1.15,699,3,0.0,0,0,133,7622,1820,299,1.21615,3,1,2021
197,2021-01-15,6102.56,440,346.43,322109,1063,0.84,450,5,0.0,0,0,106,6640,1602,245,1.215,4,1,2021
198,2021-01-16,3675.21,293,305.51,293930,928,0.95,554,7,0.0,0,0,69,4485,783,86,1.2075,5,1,2021
199,2021-01-17,8370.53,611,334.17,268639,1097,5.53,4070,44,0.0,0,0,58,4764,708,94,1.2075,6,1,2021
200,2021-01-18,12424.05,926,436.37,377901,1234,3.97,2561,29,0.0,0,0,137,7859,1813,242,1.2067299999999999,0,1,2021
201,2021-01-19,10614.22,867,354.16,261153,1256,3.23,1873,18,0.0,0,0,131,7641,1858,249,1.20775,1,1,2021
202,2021-01-20,10591.22,839,396.66,282125,1267,2.52,1502,15,0.0,0,0,143,7606,2026,250,1.21381,2,1,2021
203,2021-01-21,7773.48,639,386.96,285266,1492,1.99,1178,14,0.0,0,0,86,7386,2125,231,1.21151,3,1,2021
204,2021-01-22,6896.5,490,308.77,223232,1045,2.79,1389,21,0.0,0,0,118,6928,1864,261,1.2164,4,1,2021
205,2021-01-23,3638.73,292,291.99,164775,974,2.54,1352,12,0.0,0,0,49,4452,890,86,1.2113399999999999,5,1,2021
206,2021-01-24,7210.31,546,303.2,162623,1018,1.72,1077,6,0.0,0,0,42,4446,703,76,1.2113399999999999,6,1,2021
207,2021-01-25,12841.71,967,416.54,174717,1283,1.14,657,6,0.0,0,0,142,7703,2135,204,1.21686,0,1,2021
208,2021-01-26,11035.27,806,406.51,195455,1187,0.59,392,3,0.0,0,0,121,7429,2092,179,1.2144,1,1,2021
209,2021-01-27,9257.14,761,347.98,158503,1153,0.5,234,1,0.0,0,0,113,7284,2043,156,1.21622,2,1,2021
210,2021-01-28,8310.58,625,360.59,198300,1075,0.35,171,5,0.0,0,0,95,6773,1844,148,1.21032,3,1,2021
211,2021-01-29,5242.23,443,293.82,219346,1083,0.23,122,2,0.0,0,0,96,6158,1654,133,1.21196,4,1,2021
212,2021-01-30,3078.7,257,375.58,188370,1112,0.02,8,0,0.0,0,0,55,4152,738,53,1.2137,5,1,2021
213,2021-01-31,7000.02,558,316.8,86689,905,0.0,4,0,0.0,0,0,40,4163,670,64,1.2136,6,1,2021
214,2021-01-02,10958.5,851,284.47,65138,540,0.01,9,0,0.0,0,0,121,7211,1711,155,1.2123,5,1,2021
215,2021-02-02,9515.14,746,199.97,88278,1826,0.0,6,0,0.0,0,0,86,7090,1843,138,1.2069,1,2,2021
